Timestamp,Temperature (°C),Solar Generation (kWh),Weather Condition
2019-04-04,27.708333333333332,18.56,Sunny
2019-04-05,27.733333333333334,17.35,Partly Sunny
2019-04-06,27.604166666666668,16.91,Sunny
2019-04-07,26.958333333333332,18.62,Sunny
2019-04-08,27.116666666666664,15.02,Cloudy
2019-04-09,27.650000000000002,16.95,Sunny
2019-04-10,27.520833333333332,15.780000000000001,Cloudy
2019-04-11,27.704166666666666,19.759999999999998,Sunny
2019-04-12,27.558333333333334,19.36,Cloudy
2019-04-13,27.958333333333332,19.2,Sunny
2019-04-14,27.391666666666666,16.69,Cloudy
2019-04-15,27.474999999999998,18.46,Sunny
2019-04-16,27.329166666666666,16.33,Cloudy
2019-04-17,27.325,18.78,Partly Sunny
2019-04-18,27.708333333333332,18.52,Sunny
2019-04-19,28.116666666666664,18.65,Sunny
2019-04-20,27.47083333333333,18.17,Partly Cloudy
2019-04-21,28.045833333333334,19.41,Sunny
2019-04-22,27.258333333333336,16.12,Partly Cloudy
2019-04-23,28.0125,16.97,Cloudy
2019-04-24,27.266666666666666,14.23,Partly Sunny
2019-04-25,28.075,16.69,Partly Cloudy
2019-04-26,27.620833333333334,17.86,Sunny
2019-04-27,27.520833333333332,18.36,Partly Sunny
2019-04-28,27.8625,19.6,Sunny
2019-04-29,27.354166666666668,16.65,Partly Sunny
2019-04-30,28.066666666666666,20.03,Sunny
2019-05-01,26.320833333333336,7.4,Cloudy
2019-05-02,25.541666666666668,7.17,Rainy
2019-05-03,25.775000000000002,9.83,Cloudy
2019-05-04,26.004166666666666,9.03,Cloudy
2019-05-05,26.22083333333333,7.67,Rainy
2019-05-06,26.004166666666666,9.32,Rainy
2019-05-07,26.116666666666664,11.48,Cloudy
2019-05-08,26.7625,11.38,Cloudy
2019-05-09,26.366666666666664,9.36,Rainy
2019-05-10,26.53333333333333,11.200000000000001,Cloudy
2019-05-11,26.683333333333334,12.86,Cloudy
2019-05-12,26.316666666666666,10.4,Cloudy
2019-05-13,26.308333333333334,7.76,Rainy
2019-05-14,25.979166666666668,11.55,Cloudy
2019-05-15,26.454166666666666,8.8,Rainy
2019-05-16,26.1125,10.54,Cloudy
2019-05-17,26.075,11.68,Cloudy
2019-05-18,25.679166666666664,7.09,Rainy
2019-05-19,25.75,7.35,Cloudy
2019-05-20,26.22083333333333,10.16,Cloudy
2019-05-21,27.229166666666668,12.08,Cloudy
2019-05-22,25.566666666666666,6.99,Rainy
2019-05-23,26.704166666666666,9.88,Cloudy
2019-05-24,26.383333333333336,10.97,Cloudy
2019-05-25,25.616666666666664,8.3,Cloudy
2019-05-26,25.900000000000002,10.36,Cloudy
2019-05-27,25.429166666666664,7.2,Rainy
2019-05-28,25.65416666666667,7.0600000000000005,Cloudy
2019-05-29,26.75,12.28,Partly Cloudy
2019-05-30,26.320833333333336,8.1,Cloudy
2019-05-31,26.02916666666667,10.790000000000001,Cloudy
2019-06-01,26.2,10.5,Cloudy
2019-06-02,26.3125,10.12,Cloudy
2019-06-03,26.141666666666666,10.41,Cloudy
2019-06-04,26.474999999999998,10.45,Cloudy
2019-06-05,26.070833333333336,10.2,Rainy
2019-06-06,26.008333333333336,8.95,Cloudy
2019-06-07,25.912499999999998,7.28,Rainy
2019-06-08,25.916666666666668,10.58,Cloudy
2019-06-09,26.27916666666667,11.47,Cloudy
2019-06-10,25.979166666666668,9.95,Cloudy
2019-06-11,26.308333333333334,8.62,Cloudy
2019-06-12,25.537499999999998,5.98,Rainy
2019-06-13,26.608333333333334,9.09,Cloudy
2019-06-14,26.4875,12.540000000000001,Partly Cloudy
2019-06-15,26.479166666666668,9.99,Cloudy
2019-06-16,26.204166666666666,10.31,Cloudy
2019-06-17,26.15833333333333,9.85,Partly Cloudy
2019-06-18,25.8875,10.33,Cloudy
2019-06-19,26.891666666666666,12.72,Cloudy
2019-06-20,25.8625,8.79,Cloudy
2019-06-21,26.28333333333333,9.54,Cloudy
2019-06-22,26.275000000000002,10.15,Cloudy
2019-06-23,26.358333333333334,9.85,Cloudy
2019-06-24,26.416666666666668,9.52,Cloudy
